stock_pair,accuracy,precision,recall,f1,%class 1
"""PIDILITIND_CONCOR""",0.9967191601049868,1.0,0.0,0.0,0.0032808398950131233
"""PIDILITIND_BHARTIARTL""",1.0,,,,0.0
"""LT_HINDUNILVR""",1.0,,,,0.0
"""LT_ITC""",0.9960629921259843,1.0,0.3333333333333333,0.5,0.005905511811023622
"""LT_RELIANCE""",1.0,,,,0.0
"""LT_ONGC""",1.0,,,,0.0
"""LT_UPL""",0.9704724409448819,1.0,0.7096774193548387,0.8301886792452831,0.10170603674540682
"""LT_ICICIBANK""",0.9875328083989501,1.0,0.20833333333333334,0.3448275862068966,0.015748031496062992
"""LT_SIEMENS""",0.9993438320209974,,,,0.0
"""LT_ABB""",1.0,,,,0.0
"""LT_TCS""",1.0,,,,0.0
"""LT_INFY""",1.0,,,,0.0
"""LT_TATASTEEL""",0.9901574803149606,0.9166666666666666,0.8,0.854368932038835,0.03608923884514436
"""LT_SUNPHARMA""",1.0,,,,0.0
"""LT_CONCOR""",0.8969816272965879,1.0,0.4075471698113208,0.579088471849866,0.17388451443569553
"""LT_BHARTIARTL""",0.9940944881889764,0.92,0.7666666666666667,0.8363636363636363,0.01968503937007874
"""HINDUNILVR_ITC""",1.0,,,,0.0
"""HINDUNILVR_RELIANCE""",0.989501312335958,0.9395604395604396,0.9715909090909091,0.9553072625698324,0.11548556430446194
"""HINDUNILVR_ONGC""",1.0,,,,0.0
"""HINDUNILVR_UPL""",1.0,,,,0.0
"""HINDUNILVR_ICICIBANK""",1.0,,,,0.0
"""HINDUNILVR_SIEMENS""",1.0,,,,0.0
"""HINDUNILVR_ABB""",0.9980314960629921,0.75,0.6,0.6666666666666665,0.0032808398950131233
"""HINDUNILVR_TCS""",1.0,,,,0.0
"""HINDUNILVR_INFY""",0.994750656167979,1.0,0.0,0.0,0.005249343832020997
"""HINDUNILVR_TATASTEEL""",0.9960629921259843,0.8947368421052632,0.8095238095238095,0.8500000000000001,0.013779527559055118
"""HINDUNILVR_SUNPHARMA""",1.0,,,,0.0
"""HINDUNILVR_CONCOR""",1.0,,,,0.0
"""HINDUNILVR_BHARTIARTL""",1.0,,,,0.0
"""ITC_RELIANCE""",1.0,,,,0.0
"""ITC_ONGC""",1.0,,,,0.0
"""ITC_UPL""",1.0,,,,0.0
"""ITC_ICICIBANK""",0.9973753280839895,1.0,0.0,0.0,0.0026246719160104987
"""ITC_SIEMENS""",0.9927821522309711,0.7,0.7368421052631579,0.717948717948718,0.012467191601049869
"""ITC_ABB""",0.9612860892388452,0.9591836734693877,0.4519230769230769,0.6143790849673203,0.06824146981627296
"""ITC_TCS""",0.9914698162729659,0.0,0.0,0.0,0.007874015748031496
"""ITC_INFY""",0.9704724409448819,1.0,0.4,0.5714285714285715,0.04921259842519685
"""ITC_TATASTEEL""",0.994750656167979,1.0,0.6190476190476191,0.7647058823529412,0.013779527559055118
"""ITC_SUNPHARMA""",0.9954068241469817,1.0,0.6111111111111112,0.7586206896551725,0.011811023622047244
"""ITC_CONCOR""",0.9927821522309711,0.88,0.7333333333333333,0.8,0.01968503937007874
"""ITC_BHARTIARTL""",0.9934383202099738,1.0,0.0,0.0,0.006561679790026247
"""RELIANCE_ONGC""",1.0,,,,0.0
"""RELIANCE_UPL""",1.0,,,,0.0
"""RELIANCE_ICICIBANK""",1.0,,,,0.0
"""RELIANCE_SIEMENS""",1.0,,,,0.0
"""RELIANCE_ABB""",1.0,,,,0.0
"""RELIANCE_TCS""",1.0,,,,0.0
"""RELIANCE_INFY""",0.9973753280839895,1.0,0.7142857142857143,0.8333333333333333,0.009186351706036745
"""RELIANCE_TATASTEEL""",0.9973753280839895,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.004593175853018373
"""RELIANCE_SUNPHARMA""",1.0,,,,0.0
"""RELIANCE_CONCOR""",0.9855643044619422,,,,0.0
"""RELIANCE_BHARTIARTL""",1.0,,,,0.0
"""ONGC_UPL""",1.0,,,,0.0
"""ONGC_ICICIBANK""",1.0,,,,0.0
"""ONGC_SIEMENS""",0.9862204724409449,0.9516129032258065,0.7662337662337663,0.8489208633093526,0.0505249343832021
"""ONGC_ABB""",0.9954068241469817,0.9047619047619048,0.926829268292683,0.9156626506024096,0.02690288713910761
"""ONGC_TCS""",1.0,,,,0.0
"""ONGC_INFY""",0.9954068241469817,1.0,0.0,0.0,0.004593175853018373
"""ONGC_TATASTEEL""",1.0,,,,0.0
"""ONGC_SUNPHARMA""",0.9967191601049868,1.0,0.0,0.0,0.0032808398950131233
"""ONGC_CONCOR""",1.0,,,,0.0
"""ONGC_BHARTIARTL""",0.9888451443569554,1.0,0.7166666666666667,0.8349514563106796,0.03937007874015748
"""UPL_ICICIBANK""",0.9671916010498688,0.92,0.323943661971831,0.4791666666666667,0.046587926509186355
"""UPL_SIEMENS""",0.9980314960629921,1.0,0.5,0.6666666666666666,0.003937007874015748
"""UPL_ABB""",0.9960629921259843,0.3333333333333333,0.2,0.25,0.0032808398950131233
"""UPL_TCS""",1.0,,,,0.0
"""UPL_INFY""",0.9704724409448819,1.0,0.0,0.0,0.02952755905511811
"""UPL_TATASTEEL""",0.9980314960629921,1.0,0.0,0.0,0.001968503937007874
"""UPL_SUNPHARMA""",1.0,,,,0.0
"""UPL_CONCOR""",0.9448818897637795,0.6371681415929203,0.9863013698630136,0.7741935483870966,0.09580052493438321
"""UPL_BHARTIARTL""",0.9698162729658792,1.0,0.5779816513761468,0.7325581395348838,0.07152230971128609
"""ICICIBANK_SIEMENS""",1.0,,,,0.0
"""ICICIBANK_ABB""",1.0,,,,0.0
"""ICICIBANK_TCS""",1.0,,,,0.0
"""ICICIBANK_INFY""",1.0,,,,0.0
"""ICICIBANK_TATASTEEL""",0.9901574803149606,0.6842105263157895,0.896551724137931,0.7761194029850746,0.019028871391076115
"""ICICIBANK_SUNPHARMA""",1.0,,,,0.0
"""ICICIBANK_CONCOR""",0.9258530183727034,1.0,0.0,0.0,0.07414698162729659
"""ICICIBANK_BHARTIARTL""",1.0,,,,0.0
"""SIEMENS_ABB""",0.9875328083989501,0.9803921568627451,0.7352941176470589,0.8403361344537814,0.04461942257217848
"""SIEMENS_TCS""",1.0,,,,0.0
"""SIEMENS_INFY""",0.9954068241469817,1.0,0.8813559322033898,0.936936936936937,0.03871391076115486
"""SIEMENS_TATASTEEL""",0.9908136482939632,0.84,0.6774193548387096,0.75,0.020341207349081365
"""SIEMENS_SUNPHARMA""",1.0,,,,0.0
"""SIEMENS_CONCOR""",0.9927821522309711,1.0,0.15384615384615385,0.2666666666666667,0.00853018372703412
"""SIEMENS_BHARTIARTL""",0.9914698162729659,1.0,0.8773584905660378,0.9346733668341709,0.06955380577427822
"""ABB_TCS""",0.9967191601049868,1.0,0.0,0.0,0.0032808398950131233
"""ABB_INFY""",0.9940944881889764,1.0,0.8732394366197183,0.9323308270676691,0.046587926509186355
"""ABB_TATASTEEL""",0.9770341207349081,0.6292134831460674,0.9655172413793104,0.761904761904762,0.03805774278215223
"""ABB_SUNPHARMA""",0.9993438320209974,,,,0.0
"""ABB_CONCOR""",0.910761154855643,1.0,0.014492753623188406,0.02857142857142857,0.09055118110236221
"""ABB_BHARTIARTL""",0.9783464566929134,1.0,0.2978723404255319,0.45901639344262296,0.03083989501312336
"""TCS_INFY""",0.9986876640419947,,,,0.0
"""TCS_TATASTEEL""",0.9881889763779528,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.025590551181102362
"""TCS_SUNPHARMA""",1.0,,,,0.0
"""TCS_CONCOR""",0.9914698162729659,1.0,0.38095238095238093,0.5517241379310345,0.013779527559055118
"""TCS_BHARTIARTL""",1.0,,,,0.0
"""INFY_TATASTEEL""",1.0,,,,0.0
"""INFY_SUNPHARMA""",1.0,,,,0.0
"""INFY_CONCOR""",0.9855643044619422,0.5625,0.9642857142857143,0.7105263157894737,0.01837270341207349
"""INFY_BHARTIARTL""",0.9967191601049868,1.0,0.0,0.0,0.0032808398950131233
"""TATASTEEL_SUNPHARMA""",1.0,,,,0.0
"""TATASTEEL_CONCOR""",0.9625984251968503,0.9428571428571428,0.5546218487394958,0.6984126984126984,0.07808398950131233
"""TATASTEEL_BHARTIARTL""",1.0,,,,0.0
"""SUNPHARMA_CONCOR""",1.0,,,,0.0
"""SUNPHARMA_BHARTIARTL""",0.9875328083989501,0.9743589743589743,0.6785714285714286,0.8,0.03674540682414698
"""CONCOR_BHARTIARTL""",0.9940944881889764,0.8888888888888888,0.5,0.64,0.010498687664041995
