stock_pair,accuracy,precision,recall,f1,%class 1
"""HDFCBANK_M&M""",1.0,,,,0.0
"""HDFCBANK_ULTRACEMCO""",1.0,,,,0.0
"""HDFCBANK_GRASIM""",0.9691601049868767,0.9601449275362319,0.8803986710963455,0.9185441941074524,0.19750656167979003
"""HDFCBANK_PIDILITIND""",0.9757217847769029,0.96,0.4,0.5647058823529413,0.03937007874015748
"""HDFCBANK_LT""",1.0,,,,0.0
"""HDFCBANK_HINDUNILVR""",0.9730971128608924,1.0,0.7819148936170213,0.8776119402985074,0.12335958005249344
"""HDFCBANK_ITC""",1.0,,,,0.0
"""HDFCBANK_RELIANCE""",0.979002624671916,1.0,0.8160919540229885,0.8987341772151899,0.1141732283464567
"""HDFCBANK_ONGC""",1.0,,,,0.0
"""HDFCBANK_UPL""",0.9954068241469817,0.375,0.6,0.4615384615384615,0.0032808398950131233
"""HDFCBANK_ICICIBANK""",0.9717847769028871,1.0,0.29508196721311475,0.4556962025316456,0.04002624671916011
"""HDFCBANK_SIEMENS""",0.9862204724409449,0.9642857142857143,0.574468085106383,0.7200000000000001,0.03083989501312336
"""HDFCBANK_ABB""",0.994750656167979,0.95,0.7307692307692307,0.8260869565217392,0.01706036745406824
"""HDFCBANK_TCS""",0.9796587926509186,0.9803921568627451,0.625,0.763358778625954,0.05249343832020997
"""HDFCBANK_INFY""",1.0,,,,0.0
"""HDFCBANK_TATASTEEL""",0.963254593175853,0.9736842105263158,0.74,0.8409090909090909,0.13123359580052493
"""HDFCBANK_SUNPHARMA""",1.0,,,,0.0
"""HDFCBANK_CONCOR""",1.0,,,,0.0
"""HDFCBANK_BHARTIARTL""",1.0,,,,0.0
"""M&M_ULTRACEMCO""",0.9954068241469817,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.009186351706036745
"""M&M_GRASIM""",0.9921259842519685,0.75,0.375,0.5,0.010498687664041995
"""M&M_PIDILITIND""",1.0,,,,0.0
"""M&M_LT""",0.9973753280839895,0.6,0.6,0.6,0.0032808398950131233
"""M&M_HINDUNILVR""",1.0,,,,0.0
"""M&M_ITC""",0.9816272965879265,0.9305555555555556,0.7444444444444445,0.8271604938271605,0.05905511811023622
"""M&M_RELIANCE""",1.0,,,,0.0
"""M&M_ONGC""",1.0,,,,0.0
"""M&M_UPL""",0.9744094488188977,0.94,0.5662650602409639,0.7067669172932332,0.05446194225721785
"""M&M_ICICIBANK""",0.9908136482939632,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.025590551181102362
"""M&M_SIEMENS""",0.9960629921259843,0.7142857142857143,1.0,0.8333333333333333,0.00984251968503937
"""M&M_ABB""",0.984251968503937,0.9666666666666667,0.725,0.8285714285714285,0.05249343832020997
"""M&M_TCS""",0.9967191601049868,0.0,0.0,0.0,0.0006561679790026247
"""M&M_INFY""",0.979002624671916,0.9901960784313726,0.7651515151515151,0.8632478632478632,0.08661417322834646
"""M&M_TATASTEEL""",0.9803149606299213,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.0610236220472441
"""M&M_SUNPHARMA""",0.9960629921259843,0.8823529411764706,1.0,0.9375,0.02952755905511811
"""M&M_CONCOR""",0.9422572178477691,0.956989247311828,0.5144508670520231,0.6691729323308271,0.11351706036745407
