stock_pair,accuracy,precision,recall,f1,%class 1
"""HDFCBANK_M&M""",1.0,,,,0.0
"""HDFCBANK_ULTRACEMCO""",1.0,,,,0.0
"""HDFCBANK_GRASIM""",1.0,,,,0.0
"""HDFCBANK_PIDILITIND""",1.0,,,,0.0
"""HDFCBANK_LT""",1.0,,,,0.0
"""HDFCBANK_HINDUNILVR""",0.9429133858267716,1.0,0.011363636363636364,0.02247191011235955,0.05774278215223097
"""HDFCBANK_ITC""",1.0,,,,0.0
"""HDFCBANK_RELIANCE""",0.9967191601049868,1.0,0.0,0.0,0.0032808398950131233
"""HDFCBANK_ONGC""",1.0,,,,0.0
"""HDFCBANK_UPL""",1.0,,,,0.0
"""HDFCBANK_ICICIBANK""",1.0,,,,0.0
"""HDFCBANK_SIEMENS""",1.0,,,,0.0
"""HDFCBANK_ABB""",1.0,,,,0.0
"""HDFCBANK_TCS""",1.0,,,,0.0
"""HDFCBANK_INFY""",1.0,,,,0.0
"""HDFCBANK_TATASTEEL""",1.0,,,,0.0
"""HDFCBANK_SUNPHARMA""",1.0,,,,0.0
"""HDFCBANK_CONCOR""",1.0,,,,0.0
"""HDFCBANK_BHARTIARTL""",1.0,,,,0.0
"""M&M_ULTRACEMCO""",1.0,,,,0.0
"""M&M_GRASIM""",1.0,,,,0.0
"""M&M_PIDILITIND""",1.0,,,,0.0
"""M&M_LT""",1.0,,,,0.0
"""M&M_HINDUNILVR""",1.0,,,,0.0
"""M&M_ITC""",1.0,,,,0.0
"""M&M_RELIANCE""",1.0,,,,0.0
"""M&M_ONGC""",1.0,,,,0.0
"""M&M_UPL""",1.0,,,,0.0
"""M&M_ICICIBANK""",1.0,,,,0.0
"""M&M_SIEMENS""",1.0,,,,0.0
"""M&M_ABB""",1.0,,,,0.0
"""M&M_TCS""",0.9993438320209974,,,,0.0
"""M&M_INFY""",1.0,,,,0.0
"""M&M_TATASTEEL""",1.0,,,,0.0
"""M&M_SUNPHARMA""",1.0,,,,0.0
"""M&M_CONCOR""",1.0,,,,0.0
"""M&M_BHARTIARTL""",1.0,,,,0.0
"""ULTRACEMCO_GRASIM""",1.0,,,,0.0
"""ULTRACEMCO_PIDILITIND""",1.0,,,,0.0
"""ULTRACEMCO_LT""",1.0,,,,0.0
"""ULTRACEMCO_HINDUNILVR""",1.0,,,,0.0
"""ULTRACEMCO_ITC""",1.0,,,,0.0
"""ULTRACEMCO_RELIANCE""",1.0,,,,0.0
"""ULTRACEMCO_ONGC""",1.0,,,,0.0
"""ULTRACEMCO_UPL""",1.0,,,,0.0
"""ULTRACEMCO_ICICIBANK""",1.0,,,,0.0
"""ULTRACEMCO_SIEMENS""",1.0,,,,0.0
"""ULTRACEMCO_ABB""",1.0,,,,0.0
"""ULTRACEMCO_TCS""",1.0,,,,0.0
"""ULTRACEMCO_INFY""",1.0,,,,0.0
"""ULTRACEMCO_TATASTEEL""",1.0,,,,0.0
"""ULTRACEMCO_SUNPHARMA""",1.0,,,,0.0
"""ULTRACEMCO_CONCOR""",0.9770341207349081,1.0,0.0,0.0,0.022965879265091863
"""ULTRACEMCO_BHARTIARTL""",1.0,,,,0.0
"""GRASIM_PIDILITIND""",1.0,,,,0.0
