,Mean,Std Dev,Min,Max,Median
accuracy,0.99,0.02,0.89,1.0,1.0
precision,0.89,0.21,0.0,1.0,0.98
recall,0.51,0.35,0.0,1.0,0.59
f1,0.56,0.34,0.0,0.95,0.67
%class 1,0.02,0.04,0.0,0.24,0.0
