,Mean,Std Dev,Min,Max,Median
accuracy,0.99,0.02,0.85,1.0,1.0
precision,0.89,0.18,0.0,1.0,0.96
recall,0.6,0.32,0.0,1.0,0.7
f1,0.65,0.3,0.0,1.0,0.77
%class 1,0.04,0.05,0.0,0.27,0.01
