,Mean,Std Dev,Min,Max,Median
accuracy,1.0,0.01,0.96,1.0,1.0
precision,0.93,0.18,0.0,1.0,1.0
recall,0.28,0.34,0.0,1.0,0.03
f1,0.32,0.35,0.0,0.92,0.05
%class 1,0.0,0.01,0.0,0.08,0.0
