,Mean,Std Dev,Min,Max,Median
accuracy,1.0,0.01,0.94,1.0,1.0
precision,0.89,0.26,0.0,1.0,1.0
recall,0.21,0.37,0.0,1.0,0.0
f1,0.2,0.34,0.0,0.82,0.0
%class 1,0.0,0.01,0.0,0.06,0.0
