,Mean,Std Dev,Min,Max,Median
accuracy,0.99,0.02,0.9,1.0,1.0
precision,0.9,0.19,0.0,1.0,1.0
recall,0.45,0.35,0.0,1.0,0.5
f1,0.49,0.35,0.0,0.96,0.58
%class 1,0.01,0.03,0.0,0.17,0.0
