stock_pair,accuracy,precision,recall,f1,%class 1
"""HDFCBANK_M&M""",1.0,,,,0.0
"""HDFCBANK_ULTRACEMCO""",1.0,,,,0.0
"""HDFCBANK_GRASIM""",0.9835958005249343,0.8125,0.37142857142857144,0.5098039215686275,0.022965879265091863
"""HDFCBANK_PIDILITIND""",0.9993438320209974,1.0,0.0,0.0,0.0006561679790026247
"""HDFCBANK_LT""",1.0,,,,0.0
"""HDFCBANK_HINDUNILVR""",0.9803149606299213,1.0,0.7777777777777778,0.8750000000000001,0.08858267716535433
"""HDFCBANK_ITC""",1.0,,,,0.0
"""HDFCBANK_RELIANCE""",0.9849081364829396,1.0,0.34285714285714286,0.5106382978723404,0.022965879265091863
"""HDFCBANK_ONGC""",1.0,,,,0.0
"""HDFCBANK_UPL""",1.0,,,,0.0
"""HDFCBANK_ICICIBANK""",1.0,,,,0.0
"""HDFCBANK_SIEMENS""",0.9980314960629921,1.0,0.5714285714285714,0.7272727272727273,0.004593175853018373
"""HDFCBANK_ABB""",1.0,,,,0.0
"""HDFCBANK_TCS""",1.0,,,,0.0
"""HDFCBANK_INFY""",1.0,,,,0.0
"""HDFCBANK_TATASTEEL""",0.9967191601049868,1.0,0.0,0.0,0.0032808398950131233
"""HDFCBANK_SUNPHARMA""",1.0,,,,0.0
"""HDFCBANK_CONCOR""",1.0,,,,0.0
"""HDFCBANK_BHARTIARTL""",1.0,,,,0.0
"""M&M_ULTRACEMCO""",1.0,,,,0.0
"""M&M_GRASIM""",1.0,,,,0.0
"""M&M_PIDILITIND""",1.0,,,,0.0
"""M&M_LT""",1.0,,,,0.0
"""M&M_HINDUNILVR""",1.0,,,,0.0
"""M&M_ITC""",1.0,,,,0.0
"""M&M_RELIANCE""",1.0,,,,0.0
"""M&M_ONGC""",1.0,,,,0.0
"""M&M_UPL""",0.9914698162729659,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.007874015748031496
"""M&M_ICICIBANK""",1.0,,,,0.0
"""M&M_SIEMENS""",0.9993438320209974,,,,0.0
"""M&M_ABB""",0.9980314960629921,1.0,0.7272727272727273,0.8421052631578948,0.007217847769028871
"""M&M_TCS""",0.9980314960629921,,,,0.0
"""M&M_INFY""",0.9652230971128609,1.0,0.0,0.0,0.03477690288713911
"""M&M_TATASTEEL""",1.0,,,,0.0
"""M&M_SUNPHARMA""",0.9973753280839895,0.6,1.0,0.7499999999999999,0.003937007874015748
"""M&M_CONCOR""",0.973753280839895,1.0,0.2727272727272727,0.42857142857142855,0.03608923884514436
"""M&M_BHARTIARTL""",0.9803149606299213,1.0,0.0,0.0,0.01968503937007874
"""ULTRACEMCO_GRASIM""",1.0,,,,0.0
"""ULTRACEMCO_PIDILITIND""",1.0,,,,0.0
"""ULTRACEMCO_LT""",0.9921259842519685,1.0,0.3333333333333333,0.5,0.011811023622047244
"""ULTRACEMCO_HINDUNILVR""",1.0,,,,0.0
"""ULTRACEMCO_ITC""",1.0,,,,0.0
"""ULTRACEMCO_RELIANCE""",1.0,,,,0.0
"""ULTRACEMCO_ONGC""",1.0,,,,0.0
"""ULTRACEMCO_UPL""",0.9868766404199475,0.9565217391304348,0.5365853658536586,0.6875000000000001,0.02690288713910761
