Stock Pair,RNN R2,RNN RMSE,RNN MAE,RNN MAPE,LSTM R2,LSTM RMSE,LSTM MAE,LSTM MAPE
"""LT_HINDUNILVR""",0.10498978268142145,4.372290514971968,1.8182343102576788,0.25153700550192015,0.09191082253342997,4.404121219800376,1.801405749044147,0.2532746117087115
"""LT_ITC""",0.1775681883153537,1.9415740812197995,1.4143149475448276,0.43963679928088883,0.1803864130300289,1.938244633370499,1.4050371043241392,0.43108326203200587
"""LT_RELIANCE""",0.7566524758026907,2.734128275541208,2.136936147375899,0.2897226961535005,0.7485302543167338,2.7793823257728003,2.2238984176276455,0.28073207318282173
"""LT_ONGC""",0.325937147634085,2.480785091317462,1.6121837167758,0.24650828465842062,0.3067717386565728,2.515805580734448,1.6542977292160104,0.25541073937593345
"""LT_UPL""",0.011430796423268275,2.510115191457552,1.5738559429158112,0.44546795660562893,-0.0028673817916065047,2.528202559657209,1.6261177399609446,0.479456920305074
"""LT_ICICIBANK""",0.7534638288089044,1.4517147499781626,1.0173895446379697,0.28053792850745324,0.771592331373448,1.3973213875469717,0.9864028497628405,0.2759573886863002
"""LT_SIEMENS""",-0.21190712266728595,1.4822020746277837,1.0527504275803572,0.43348993476742714,-0.22374567570379034,1.4894239496209207,1.0619705830138673,0.4382228846065802
"""LT_ABB""",-0.12354805317749418,1.4103440717847,0.9328596340325135,0.38069756721985015,-0.1438002104287699,1.4229981571396708,0.9414441694000469,0.38237616122999507
"""LT_TCS""",0.6052853466453163,1.5970802030214009,1.091617922446722,0.3338941253822127,0.6384307141168755,1.5285542867903772,1.0459050152855793,0.34075415230357925
"""LT_INFY""",0.8632427195516325,1.6742081291651996,1.2717427406536315,0.3377357976227345,0.8674902289435088,1.6480036537255,1.2513745194290584,0.34796341825986166
"""LT_TATASTEEL""",0.354455150700691,2.13433225502447,1.5830085646087426,0.36153950597862716,0.3981702315744954,2.0607990728959913,1.5319464960909714,0.3529956610458435
"""LT_SUNPHARMA""",-0.38126477793789193,2.037588703435401,1.4039047998451557,0.2857186880274781,-0.15748358984886202,1.8652432486870965,1.2455805948198637,0.25597913120943677
"""LT_CONCOR""",0.019573758092918725,3.8486835679029827,2.509513293917532,0.5241384036227739,0.015641466163779705,3.8563939912057803,2.4940023845999284,0.5131384805952318
"""LT_BHARTIARTL""",-0.26739421230053106,3.7344925371195545,2.3559476155265107,0.5423247067283674,-0.24230488441639575,3.6973437735279346,2.2897699543364767,0.5095390119732205
"""HINDUNILVR_ITC""",0.2793531932169422,4.20930646526782,1.7821858888240025,0.1865837548655629,0.27154627848486823,4.23204518818041,1.7966851958875496,0.1925296376419084
"""HINDUNILVR_RELIANCE""",0.12360533305665466,4.732158920073446,2.1468012369569993,0.7070748753630877,0.08699037457716374,4.830000059594683,2.2110455106053357,0.7212529204509126
"""HINDUNILVR_ONGC""",0.33006930685646074,4.384492609945427,2.2666584296115992,0.18194002353461844,0.330499753887456,4.3830838111689,2.2321295471920095,0.17479438006925246
"""HINDUNILVR_UPL""",-0.1282446274195299,5.139186082815713,2.5531566084346617,0.4114312011536611,-0.09980846264734877,5.074009016868626,2.5023119886151153,0.4060237098960453
"""HINDUNILVR_ICICIBANK""",-0.21302218862530298,4.721040248810651,1.9578156509571365,0.5886271034273591,-0.13786097082201332,4.572439112534103,1.8796410019128436,0.553086044258351
