stock_pair,accuracy,precision,recall,f1,%class 1
"""HDFCBANK_M&M""",1.0,,,,0.0
"""HDFCBANK_ULTRACEMCO""",1.0,,,,0.0
"""HDFCBANK_GRASIM""",0.9619422572178478,0.958974358974359,0.7890295358649789,0.8657407407407408,0.15551181102362205
"""HDFCBANK_PIDILITIND""",0.9835958005249343,0.8571428571428571,0.2,0.32432432432432434,0.01968503937007874
"""HDFCBANK_LT""",1.0,,,,0.0
"""HDFCBANK_HINDUNILVR""",0.9822834645669292,1.0,0.8291139240506329,0.9065743944636678,0.1036745406824147
"""HDFCBANK_ITC""",1.0,,,,0.0
"""HDFCBANK_RELIANCE""",0.9619422572178478,1.0,0.6081081081081081,0.7563025210084033,0.09711286089238845
"""HDFCBANK_ONGC""",1.0,,,,0.0
"""HDFCBANK_UPL""",1.0,,,,0.0
"""HDFCBANK_ICICIBANK""",0.9816272965879265,1.0,0.0,0.0,0.01837270341207349
"""HDFCBANK_SIEMENS""",0.9954068241469817,0.9333333333333333,0.7,0.8,0.013123359580052493
"""HDFCBANK_ABB""",0.9888451443569554,1.0,0.0,0.0,0.01115485564304462
"""HDFCBANK_TCS""",0.9980314960629921,1.0,0.5,0.6666666666666666,0.003937007874015748
"""HDFCBANK_INFY""",1.0,,,,0.0
"""HDFCBANK_TATASTEEL""",0.9625984251968503,0.975,0.5864661654135338,0.732394366197183,0.08727034120734908
"""HDFCBANK_SUNPHARMA""",1.0,,,,0.0
"""HDFCBANK_CONCOR""",1.0,,,,0.0
"""HDFCBANK_BHARTIARTL""",1.0,,,,0.0
"""M&M_ULTRACEMCO""",0.9967191601049868,0.25,0.3333333333333333,0.28571428571428575,0.001968503937007874
"""M&M_GRASIM""",0.9954068241469817,1.0,0.0,0.0,0.004593175853018373
"""M&M_PIDILITIND""",1.0,,,,0.0
"""M&M_LT""",0.9973753280839895,0.5,0.25,0.3333333333333333,0.0026246719160104987
"""M&M_HINDUNILVR""",1.0,,,,0.0
"""M&M_ITC""",0.9927821522309711,0.8787878787878788,0.8055555555555556,0.8405797101449276,0.023622047244094488
"""M&M_RELIANCE""",1.0,,,,0.0
"""M&M_ONGC""",1.0,,,,0.0
"""M&M_UPL""",0.9829396325459318,0.9285714285714286,0.52,0.6666666666666666,0.03280839895013123
"""M&M_ICICIBANK""",0.9901574803149606,0.3333333333333333,0.36363636363636365,0.34782608695652173,0.007217847769028871
"""M&M_SIEMENS""",0.9960629921259843,0.5714285714285714,1.0,0.7272727272727273,0.005249343832020997
"""M&M_ABB""",0.9829396325459318,1.0,0.44680851063829785,0.6176470588235294,0.03083989501312336
"""M&M_TCS""",0.9973753280839895,,,,0.0
"""M&M_INFY""",0.9724409448818898,1.0,0.5882352941176471,0.7407407407407407,0.06692913385826772
"""M&M_TATASTEEL""",0.9875328083989501,0.8852459016393442,0.8181818181818182,0.8503937007874016,0.04330708661417323
"""M&M_SUNPHARMA""",0.9980314960629921,0.896551724137931,1.0,0.9454545454545454,0.01706036745406824
"""M&M_CONCOR""",0.9448818897637795,1.0,0.4,0.5714285714285715,0.09186351706036745
"""M&M_BHARTIARTL""",0.9146981627296588,0.9166666666666666,0.07857142857142857,0.14473684210526314,0.09186351706036745
