stock_pair,accuracy,precision,recall,f1,%class 1
"""HDFCBANK_M&M""",1.0,,,,0.0
"""HDFCBANK_ULTRACEMCO""",1.0,,,,0.0
"""HDFCBANK_GRASIM""",0.9960629921259843,1.0,0.0,0.0,0.003937007874015748
"""HDFCBANK_PIDILITIND""",1.0,,,,0.0
"""HDFCBANK_LT""",1.0,,,,0.0
"""HDFCBANK_HINDUNILVR""",0.9586614173228346,1.0,0.45217391304347826,0.6227544910179641,0.07545931758530183
"""HDFCBANK_ITC""",1.0,,,,0.0
"""HDFCBANK_RELIANCE""",0.9875328083989501,1.0,0.0,0.0,0.012467191601049869
"""HDFCBANK_ONGC""",1.0,,,,0.0
"""HDFCBANK_UPL""",1.0,,,,0.0
"""HDFCBANK_ICICIBANK""",1.0,,,,0.0
"""HDFCBANK_SIEMENS""",1.0,,,,0.0
"""HDFCBANK_ABB""",1.0,,,,0.0
"""HDFCBANK_TCS""",1.0,,,,0.0
"""HDFCBANK_INFY""",1.0,,,,0.0
"""HDFCBANK_TATASTEEL""",1.0,,,,0.0
"""HDFCBANK_SUNPHARMA""",1.0,,,,0.0
"""HDFCBANK_CONCOR""",1.0,,,,0.0
"""HDFCBANK_BHARTIARTL""",1.0,,,,0.0
"""M&M_ULTRACEMCO""",1.0,,,,0.0
"""M&M_GRASIM""",1.0,,,,0.0
"""M&M_PIDILITIND""",1.0,,,,0.0
"""M&M_LT""",1.0,,,,0.0
"""M&M_HINDUNILVR""",1.0,,,,0.0
"""M&M_ITC""",1.0,,,,0.0
"""M&M_RELIANCE""",1.0,,,,0.0
"""M&M_ONGC""",1.0,,,,0.0
"""M&M_UPL""",0.9973753280839895,1.0,0.0,0.0,0.0026246719160104987
"""M&M_ICICIBANK""",1.0,,,,0.0
"""M&M_SIEMENS""",1.0,,,,0.0
"""M&M_ABB""",0.9980314960629921,1.0,0.5714285714285714,0.7272727272727273,0.004593175853018373
"""M&M_TCS""",0.9980314960629921,,,,0.0
"""M&M_INFY""",0.9960629921259843,1.0,0.0,0.0,0.003937007874015748
"""M&M_TATASTEEL""",1.0,,,,0.0
"""M&M_SUNPHARMA""",1.0,,,,0.0
"""M&M_CONCOR""",0.9855643044619422,1.0,0.0,0.0,0.014435695538057743
"""M&M_BHARTIARTL""",0.9934383202099738,1.0,0.0,0.0,0.006561679790026247
"""ULTRACEMCO_GRASIM""",1.0,,,,0.0
"""ULTRACEMCO_PIDILITIND""",1.0,,,,0.0
"""ULTRACEMCO_LT""",0.9967191601049868,1.0,0.0,0.0,0.0032808398950131233
"""ULTRACEMCO_HINDUNILVR""",1.0,,,,0.0
"""ULTRACEMCO_ITC""",1.0,,,,0.0
"""ULTRACEMCO_RELIANCE""",1.0,,,,0.0
"""ULTRACEMCO_ONGC""",1.0,,,,0.0
"""ULTRACEMCO_UPL""",0.994750656167979,1.0,0.0,0.0,0.005249343832020997
"""ULTRACEMCO_ICICIBANK""",1.0,,,,0.0
"""ULTRACEMCO_SIEMENS""",1.0,,,,0.0
"""ULTRACEMCO_ABB""",0.9980314960629921,,,,0.0
"""ULTRACEMCO_TCS""",0.9993438320209974,,,,0.0
"""ULTRACEMCO_INFY""",1.0,,,,0.0
